Symptoms,Disease
"fever, back pain, shortness of breath,3",Allergy
"insomnia, back pain, weight loss,3",Thyroid Disorder
"sore throat, vomiting, diarrhea,3",Influenza
"blurred vision, depression, weight loss, muscle pain,4",Stroke
"swelling, appetite loss, nausea,3",Heart Disease
"vomiting, swelling, dizziness, fatigue,4",Heart Disease
"anxiety, shortness of breath, appetite loss, cough, back pain,5",Food Poisoning
"sore throat, weight loss, chest pain, depression, anxiety, rash,6",Bronchitis
"insomnia, diarrhea, swelling,3",COVID-19
"joint pain, shortness of breath, runny nose,3",Dermatitis
"vomiting, insomnia, shortness of breath, blurred vision, depression,5",Food Poisoning
"back pain, diarrhea, nausea, runny nose, joint pain, shortness of breath, depression,7",Diabetes
"sweating, swelling, cough, diarrhea, appetite loss,5",Arthritis
"weight gain, blurred vision, dizziness, vomiting,4",COVID-19
"headache, shortness of breath, tremors, diarrhea, back pain, weight loss,6",Sinusitis
"weight gain, joint pain, rash, diarrhea, headache, abdominal pain,6",Dementia
"headache, depression, nausea,3",Dermatitis
"joint pain, anxiety, runny nose,3",Parkinson's
"insomnia, back pain, fatigue,3",Dermatitis
"fatigue, chest pain, muscle pain, nausea, runny nose,5",Obesity
"abdominal pain, fatigue, tremors, depression,4",Obesity
"headache, rash, swelling, nausea,4",Parkinson's
"sneezing, fever, fatigue, rash, sweating,5",Parkinson's
"weight gain, sore throat, back pain, sneezing,4",Influenza
"headache, insomnia, sneezing, weight loss,4",Obesity
"muscle pain, vomiting, weight loss, swelling, back pain, blurred vision, sweating,7",Dermatitis
"runny nose, abdominal pain, fatigue, diarrhea, sore throat,5",Arthritis
"weight gain, diarrhea, fever, sore throat,4",Stroke
"cough, tremors, dizziness,3",Asthma
"vomiting, weight loss, headache, back pain, weight gain, swelling,6",Heart Disease
"vomiting, fatigue, sweating, insomnia, muscle pain, rash,6",Depression
"insomnia, depression, fatigue,3",Dermatitis
"diarrhea, vomiting, weight loss,3",Gastritis
"runny nose, diarrhea, tremors, sore throat, appetite loss,5",Diabetes
"sweating, fever, sore throat, swelling, diarrhea, nausea, muscle pain,7",Influenza
"cough, nausea, joint pain, fever, appetite loss, shortness of breath,6",Dermatitis
"insomnia, blurred vision, sneezing, headache, vomiting, chest pain, back pain,7",Liver Disease
"back pain, dizziness, cough,3",Stroke
